Reason_1,Reason_2,Reason_3,Reason_4,Month Value,Day of the Week,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
0,0,0,1,7,7,289,36,33,239.554,30,0,2,1,4
0,0,0,0,7,14,118,13,50,239.554,31,0,1,0,0
0,0,0,1,7,15,179,51,38,239.554,31,0,0,0,2
1,0,0,0,7,16,279,5,39,239.554,24,0,2,0,4
0,0,0,1,7,23,289,36,33,239.554,30,0,2,1,2
0,0,0,1,7,10,179,51,38,239.554,31,0,0,0,2
0,0,0,1,7,17,361,52,28,239.554,27,0,1,4,8
0,0,0,1,7,24,260,50,36,239.554,23,0,4,0,4
0,0,1,0,7,6,155,12,34,239.554,25,0,2,0,40
0,0,0,1,7,13,235,11,37,239.554,29,1,1,1,8
1,0,0,0,7,20,260,50,36,239.554,23,0,4,0,8
1,0,0,0,7,14,260,50,36,239.554,23,0,4,0,8
1,0,0,0,7,15,260,50,36,239.554,23,0,4,0,8
1,0,0,0,7,15,179,51,38,239.554,31,0,0,0,1
0,0,0,1,7,15,179,51,38,239.554,31,0,0,0,4
1,0,0,0,7,17,246,25,41,239.554,23,0,0,0,8
0,0,0,1,7,17,179,51,38,239.554,31,0,0,0,2
0,0,1,0,7,27,179,51,38,239.554,31,0,0,0,8
1,0,0,0,7,30,189,29,33,239.554,25,0,2,2,8
0,0,0,1,8,5,248,25,47,205.917,32,0,2,1,2
1,0,0,0,8,12,330,16,28,205.917,25,1,0,0,8
1,0,0,0,8,3,179,51,38,205.917,31,0,0,0,1
1,0,0,0,8,10,361,52,28,205.917,27,0,1,4,40
0,0,0,1,8,14,260,50,36,205.917,23,0,4,0,4
0,0,1,0,8,17,289,36,33,205.917,30,0,2,1,8
0,0,0,1,8,24,361,52,28,205.917,27,0,1,4,7
0,0,0,1,8,4,289,36,33,205.917,30,0,2,1,1
0,0,0,1,8,12,157,27,29,205.917,22,0,0,0,4
0,0,1,0,8,19,289,36,33,205.917,30,0,2,1,8
0,0,0,1,8,28,179,51,38,205.917,31,0,0,0,2
0,0,1,0,8,17,179,51,38,205.917,31,0,0,0,8
0,0,1,0,8,27,235,29,48,205.917,33,0,1,5,8
0,0,0,1,8,27,235,11,37,205.917,29,1,1,1,4
0,0,1,0,8,17,235,29,48,205.917,33,0,1,5,8
0,0,0,1,8,17,179,51,38,205.917,31,0,0,0,2
0,0,0,1,8,17,361,52,28,205.917,27,0,1,4,1
0,0,0,1,8,4,289,36,33,205.917,30,0,2,1,8
1,0,0,0,8,20,291,50,32,205.917,23,0,0,0,4
0,0,0,1,8,21,235,29,48,205.917,33,0,1,5,8
0,0,0,1,8,28,260,50,36,205.917,23,0,4,0,4
0,0,0,1,9,1,184,42,27,241.476,21,0,0,0,2
0,0,0,1,9,7,118,10,37,241.476,28,0,0,0,4
0,0,0,1,9,1,179,51,38,241.476,31,0,0,0,4
0,0,1,0,9,8,235,20,43,241.476,38,0,1,0,8
0,0,0,1,9,9,155,12,34,241.476,25,0,2,0,2
0,0,0,1,9,13,118,10,37,241.476,28,0,0,0,3
0,0,0,1,9,14,179,51,38,241.476,31,0,0,0,3
0,0,0,1,9,24,291,31,40,241.476,25,0,1,1,4
0,0,0,1,9,4,260,50,36,241.476,23,0,4,0,8
1,0,0,0,9,14,291,31,40,241.476,25,0,1,1,32
0,0,0,0,9,21,260,50,36,241.476,23,0,4,0,0
0,0,0,0,9,28,225,26,28,241.476,24,0,1,2,0
0,0,0,1,9,8,225,26,28,241.476,24,0,1,2,2
0,0,0,1,9,15,118,10,37,241.476,28,0,0,0,2
0,0,0,0,9,22,289,36,33,241.476,30,0,2,1,0
0,0,0,0,9,29,118,13,50,241.476,31,0,1,0,0
0,0,1,0,9,16,225,26,28,241.476,24,0,1,2,3
0,0,0,1,9,23,179,51,38,241.476,31,0,0,0,3
0,0,0,0,9,30,369,17,31,241.476,25,0,3,0,0
0,0,0,1,9,11,248,25,47,241.476,32,0,2,1,1
0,0,0,1,9,18,179,51,38,241.476,31,0,0,0,3
0,0,0,1,9,25,260,50,36,241.476,23,0,4,0,4
0,0,0,1,10,6,179,51,38,253.465,31,0,0,0,3
0,0,0,1,10,13,118,10,37,253.465,28,0,0,0,3
0,0,0,0,10,14,118,13,50,253.465,31,0,1,0,0
0,0,0,1,10,15,179,26,30,253.465,19,1,0,0,1
0,0,0,1,10,16,179,51,38,253.465,31,0,0,0,3
0,0,0,1,10,16,225,26,28,253.465,24,0,1,2,3
0,0,0,1,10,6,118,10,37,253.465,28,0,0,0,3
0,0,0,1,10,14,225,26,28,253.465,24,0,1,2,2
0,0,0,1,10,21,248,25,47,253.465,32,0,2,1,2
0,0,0,1,10,22,291,31,40,253.465,25,0,1,1,5
0,0,0,1,10,21,179,51,38,253.465,31,0,0,0,8
0,0,0,1,10,21,225,26,28,253.465,24,0,1,2,3
0,0,1,0,10,22,260,50,36,253.465,23,0,4,0,16
1,0,0,0,10,13,291,31,40,253.465,25,0,1,1,8
0,0,0,1,10,20,225,26,28,253.465,24,0,1,2,2
0,0,0,1,10,21,289,36,33,253.465,30,0,2,1,8
0,0,0,1,10,23,361,52,28,253.465,27,0,1,4,1
0,0,0,1,10,30,260,50,36,253.465,23,0,4,0,3
0,0,0,1,11,5,179,51,38,306.345,31,0,0,0,1
0,0,0,1,11,4,225,26,28,306.345,24,0,1,2,1
1,0,0,0,11,5,179,51,38,306.345,31,0,0,0,8
0,0,1,0,11,12,179,22,40,306.345,22,1,2,0,8
0,0,0,1,11,19,291,31,40,306.345,25,0,1,1,5
1,0,0,0,11,2,155,12,34,306.345,25,0,2,0,32
0,0,0,1,11,9,189,29,33,306.345,25,0,2,2,8
1,0,0,0,11,16,291,31,40,306.345,25,0,1,1,40
0,0,0,1,11,18,225,26,28,306.345,24,0,1,2,1
1,0,0,0,11,20,155,12,34,306.345,25,0,2,0,8
0,0,0,1,11,18,225,26,28,306.345,24,0,1,2,3
0,0,1,0,11,25,179,22,40,306.345,22,1,2,0,8
1,0,0,0,11,20,225,26,28,306.345,24,0,1,2,3
0,0,0,1,11,27,260,50,36,306.345,23,0,4,0,4
0,0,0,1,11,2,248,25,47,306.345,32,0,2,1,1
0,0,0,1,11,10,225,26,28,306.345,24,0,1,2,3
1,0,0,0,11,11,289,36,33,306.345,30,0,2,1,24
0,0,0,1,11,26,291,31,40,306.345,25,0,1,1,3
0,0,0,1,12,1,248,25,47,261.306,32,0,2,1,1
0,0,1,0,12,1,118,10,37,261.306,28,0,0,0,64
0,0,0,1,12,2,118,13,50,261.306,31,0,1,0,2
0,0,0,1,12,2,235,11,37,261.306,29,1,1,1,8
0,0,0,1,12,3,225,26,28,261.306,24,0,1,2,2
0,0,0,1,12,4,260,50,36,261.306,23,0,4,0,8
0,0,1,0,12,8,118,10,37,261.306,28,0,0,0,56
0,0,0,1,12,9,361,52,28,261.306,27,0,1,4,8
0,0,0,1,12,10,225,26,28,261.306,24,0,1,2,3
0,0,0,1,12,11,260,50,36,261.306,23,0,4,0,3
0,0,0,1,12,15,225,26,28,261.306,24,0,1,2,2
0,0,0,1,12,16,361,52,28,261.306,27,0,1,4,8
0,0,0,1,12,11,118,10,37,261.306,28,0,0,0,2
0,0,1,0,12,18,246,25,41,261.306,23,0,0,0,8
0,0,0,1,12,18,225,26,28,261.306,24,0,1,2,2
0,0,0,1,1,6,225,26,28,308.593,24,0,1,2,1
0,0,1,0,1,4,118,10,37,308.593,28,0,0,0,1
0,0,0,1,1,5,118,10,37,308.593,28,0,0,0,1
0,0,1,0,1,5,155,12,34,308.593,25,0,2,0,8
0,0,0,1,1,6,225,26,28,308.593,24,0,1,2,2
0,0,0,1,1,7,184,42,27,308.593,21,0,0,0,2
0,0,0,1,1,7,225,26,28,308.593,24,0,1,2,2
0,0,0,1,1,8,225,26,28,308.593,24,0,1,2,1
0,0,0,1,1,11,118,10,37,308.593,28,0,0,0,2
0,0,0,1,1,12,225,26,28,308.593,24,0,1,2,2
0,0,0,1,1,12,118,10,37,308.593,28,0,0,0,2
0,0,0,1,1,13,118,10,37,308.593,28,0,0,0,2
0,0,0,1,1,14,118,10,37,308.593,28,0,0,0,2
0,0,0,1,1,15,118,10,37,308.593,28,0,0,0,2
0,0,0,1,1,11,118,10,37,308.593,28,0,0,0,2
0,0,0,1,1,12,118,10,37,308.593,28,0,0,0,2
0,0,1,0,1,12,179,26,30,308.593,19,1,0,0,8
0,0,1,0,1,12,289,36,33,308.593,30,0,2,1,8
0,0,0,1,1,13,118,10,37,308.593,28,0,0,0,2
0,0,0,1,1,21,184,42,27,308.593,21,0,0,0,2
0,0,0,1,1,28,118,10,37,308.593,28,0,0,0,2
0,0,0,1,1,25,118,10,37,308.593,28,0,0,0,0
0,0,0,1,1,26,225,26,28,308.593,24,0,1,2,1
0,0,0,1,1,28,289,36,33,308.593,30,0,2,1,3
0,0,0,1,2,5,184,42,27,302.585,21,0,0,0,1
1,0,0,0,2,3,246,25,41,302.585,23,0,0,0,8
1,0,0,0,2,10,179,51,38,302.585,31,0,0,0,8
0,0,0,1,2,11,155,12,34,302.585,25,0,2,0,2
0,0,0,1,2,11,189,29,33,302.585,25,0,2,2,8
0,0,0,1,2,12,260,50,36,302.585,23,0,4,0,2
0,0,0,1,2,12,289,36,33,302.585,30,0,2,1,8
1,0,0,0,2,8,388,15,50,302.585,24,0,0,0,8
1,0,0,0,2,9,388,15,50,302.585,24,0,0,0,8
0,0,0,1,2,15,225,26,28,302.585,24,0,1,2,2
0,0,0,1,2,9,225,26,28,302.585,24,0,1,2,2
0,0,0,1,2,16,179,26,30,302.585,19,1,0,0,1
0,0,0,1,2,23,184,42,27,302.585,21,0,0,0,8
0,0,0,1,2,25,225,26,28,302.585,24,0,1,2,3
0,0,1,0,2,15,330,16,28,302.585,25,1,0,0,8
0,0,0,1,2,16,330,16,28,302.585,25,1,0,0,1
0,0,0,1,2,17,225,26,28,302.585,24,0,1,2,1
0,0,1,0,2,25,189,29,33,302.585,25,0,2,2,8
0,0,0,1,3,1,291,50,32,343.25300000000004,23,0,0,0,2
0,0,1,0,3,1,260,50,36,343.25300000000004,23,0,4,0,8
0,0,1,0,3,8,157,27,29,343.25300000000004,22,0,0,0,3
0,1,0,0,3,15,179,22,40,343.25300000000004,22,1,2,0,8
0,0,0,1,3,16,291,31,40,343.25300000000004,25,0,1,1,8
1,0,0,0,3,2,260,50,36,343.25300000000004,23,0,4,0,8
1,0,0,0,3,3,179,26,30,343.25300000000004,19,1,0,0,8
1,0,0,0,3,4,248,25,47,343.25300000000004,32,0,2,1,3
1,0,0,0,3,4,260,50,36,343.25300000000004,23,0,4,0,40
1,0,0,0,3,7,179,22,40,343.25300000000004,22,1,2,0,40
1,0,0,0,3,14,155,12,34,343.25300000000004,25,0,2,0,16
0,0,0,1,3,21,260,50,36,343.25300000000004,23,0,4,0,16
1,0,0,0,3,22,155,12,34,343.25300000000004,25,0,2,0,8
1,0,0,0,3,24,289,36,33,343.25300000000004,30,0,2,1,8
1,0,0,0,3,24,179,22,40,343.25300000000004,22,1,2,0,8
0,0,0,1,3,25,260,50,36,343.25300000000004,23,0,4,0,4
0,0,0,1,3,25,225,26,28,343.25300000000004,24,0,1,2,1
1,0,0,0,3,28,279,5,39,343.25300000000004,24,0,2,0,8
1,0,0,0,3,29,179,51,38,343.25300000000004,31,0,0,0,24
0,0,0,1,3,30,225,26,28,343.25300000000004,24,0,1,2,2
1,0,0,0,3,28,225,26,28,343.25300000000004,24,0,1,2,8
1,0,0,0,3,28,179,26,30,343.25300000000004,19,1,0,0,1
1,0,0,0,3,29,225,26,28,343.25300000000004,24,0,1,2,8
1,0,0,0,3,30,225,26,28,343.25300000000004,24,0,1,2,16
1,0,0,0,3,30,179,51,38,343.25300000000004,31,0,0,0,3
1,0,0,0,3,17,279,5,39,343.25300000000004,24,0,2,0,16
0,0,0,1,3,18,225,26,28,343.25300000000004,24,0,1,2,2
1,0,0,0,3,25,248,25,47,343.25300000000004,32,0,2,1,3
0,0,0,1,3,28,225,26,28,343.25300000000004,24,0,1,2,1
0,0,0,1,4,6,291,31,40,326.452,25,0,1,1,1
0,0,0,1,4,13,225,26,28,326.452,24,0,1,2,1
0,0,0,1,4,12,155,12,34,326.452,25,0,2,0,1
1,0,0,0,4,13,246,25,41,326.452,23,0,0,0,24
0,0,0,1,4,14,155,12,34,326.452,25,0,2,0,1
0,0,0,1,4,15,225,26,28,326.452,24,0,1,2,2
0,0,0,1,4,15,260,50,36,326.452,23,0,4,0,4
1,0,0,0,4,6,179,51,38,326.452,31,0,0,0,24
0,0,0,1,4,7,118,13,50,326.452,31,0,1,0,1
0,0,0,1,4,8,291,31,40,326.452,25,0,1,1,3
1,0,0,0,4,8,246,25,41,326.452,23,0,0,0,8
0,0,0,1,4,22,291,31,40,326.452,25,0,1,1,1
0,0,0,1,4,29,248,25,47,326.452,32,0,2,1,8
0,0,1,0,4,29,260,50,36,326.452,23,0,4,0,56
